                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.73524,                 1.0656,                0.87008,                0.74899,                0.83333,                0.93972,                0.73274,                 0.7096,                0.81941,                0.91871,             0.00057558,             0.00057558,             0.00057558
                     66,                0.77009,                 1.1415,                0.88122,                0.60476,                0.95703,                0.95354,                0.72377,                0.75232,                 0.8466,                0.92817,             0.00057539,             0.00057539,             0.00057539
                     67,                0.70574,                0.91831,                0.86932,                0.60476,                0.95703,                0.95354,                0.72377,                0.75232,                 0.8466,                0.92817,             0.00057519,             0.00057519,             0.00057519
                     68,                0.72872,                0.95384,                0.88221,                0.63254,                      1,                  0.995,                0.77115,                0.71568,                0.83115,                0.92308,               0.000575,               0.000575,               0.000575
                     69,                 0.7756,                 0.9604,                0.86432,                0.63254,                      1,                  0.995,                0.77115,                0.71568,                0.83115,                0.92308,             0.00057481,             0.00057481,             0.00057481
                     70,                0.72592,                 1.0379,                0.90309,                0.71902,                0.91667,                  0.995,                0.77576,                0.68966,                0.78175,                0.91429,             0.00057461,             0.00057461,             0.00057461
                     71,                0.77039,                0.95182,                 0.8798,                0.71902,                0.91667,                  0.995,                0.77576,                0.68966,                0.78175,                0.91429,             0.00057442,             0.00057442,             0.00057442
                     72,                0.72497,                0.95094,                0.87738,                0.69532,                      1,                  0.995,                0.80698,                0.69933,                0.78864,                0.91662,             0.00057422,             0.00057422,             0.00057422
                     73,                0.64513,                0.89889,                0.84017,                0.69532,                      1,                  0.995,                0.80698,                0.69933,                0.78864,                0.91662,             0.00057403,             0.00057403,             0.00057403
                     74,                0.74641,                  1.062,                0.89282,                0.68236,                      1,                  0.995,                0.79059,                0.72023,                0.81381,                0.91164,             0.00057384,             0.00057384,             0.00057384
                     75,                0.66498,                0.91856,                0.85315,                0.68236,                      1,                  0.995,                0.79059,                0.72023,                0.81381,                0.91164,             0.00057364,             0.00057364,             0.00057364
