                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.52594,                0.57915,                0.85708,                0.75501,                0.90476,                0.90024,                0.70717,                0.84668,                0.77938,                0.89842,             0.00037877,             0.00037877,             0.00037877
                     51,                0.52016,                0.58545,                0.82635,                 0.7665,                0.90476,                0.90024,                0.71391,                0.83827,                0.82484,                0.89591,             0.00037865,             0.00037865,             0.00037865
                     52,                0.51654,                0.56668,                0.83578,                0.76339,                0.90476,                0.90024,                0.71085,                0.82772,                0.84333,                0.88925,             0.00037852,             0.00037852,             0.00037852
                     53,                0.48406,                0.52896,                0.81212,                0.76339,                0.90476,                0.90024,                0.71085,                0.82772,                0.84333,                0.88925,             0.00037839,             0.00037839,             0.00037839
                     54,                0.47352,                0.54702,                0.81246,                0.83756,                0.85714,                0.90024,                0.70856,                0.81539,                0.80409,                0.88819,             0.00037827,             0.00037827,             0.00037827
                     55,                0.48256,                0.55707,                0.80242,                0.84628,                0.85714,                0.90024,                0.72271,                0.78252,                0.74295,                0.88682,             0.00037814,             0.00037814,             0.00037814
                     56,                0.48046,                0.60929,                  0.835,                0.84482,                0.85714,                0.90024,                0.73163,                0.75036,                0.70458,                0.88806,             0.00037801,             0.00037801,             0.00037801
                     57,                0.49876,                0.58848,                0.83086,                0.84482,                0.85714,                0.90024,                0.73163,                0.75036,                0.70458,                0.88806,             0.00037789,             0.00037789,             0.00037789
                     58,                0.47548,                0.55231,                0.82021,                0.83949,                0.85674,                0.90024,                0.73347,                0.73129,                0.68603,                0.89022,             0.00037776,             0.00037776,             0.00037776
                     59,                0.48792,                0.55272,                 0.8039,                0.82686,                0.85692,                0.90024,                0.72986,                 0.7323,                0.67262,                0.89245,             0.00037763,             0.00037763,             0.00037763
                     60,                0.43964,                0.52923,                0.82052,                0.81361,                0.85707,                0.90024,                0.71613,                0.78003,                0.68532,                0.89668,              0.0003775,              0.0003775,              0.0003775
                     61,                0.50498,                0.54615,                0.84391,                0.81361,                0.85707,                0.90024,                0.71613,                0.78003,                0.68532,                0.89668,             0.00037738,             0.00037738,             0.00037738
                     62,                0.47042,                0.53744,                0.81857,                0.79418,                0.85714,                0.90024,                0.71849,                0.79586,                0.66372,                0.89893,             0.00037725,             0.00037725,             0.00037725
                     63,                0.51131,                0.53372,                0.83055,                0.70428,                0.90476,                0.90024,                0.73526,                0.77201,                0.63304,                0.89571,             0.00037712,             0.00037712,             0.00037712
                     64,                0.48247,                0.54755,                0.82271,                0.76105,                0.90476,                0.90024,                0.74367,                0.75994,                0.62251,                0.89136,               0.000377,               0.000377,               0.000377
                     65,                0.54997,                0.58683,                0.83916,                0.76105,                0.90476,                0.90024,                0.74367,                0.75994,                0.62251,                0.89136,             0.00037687,             0.00037687,             0.00037687
                     66,                 0.4783,                0.59314,                0.83235,                0.77754,                0.90476,                0.90024,                0.72968,                0.77612,                0.60201,                0.89192,             0.00037674,             0.00037674,             0.00037674
                     67,                0.47816,                 0.5371,                0.82759,                 0.7879,                0.90231,                0.90024,                0.71984,                0.77956,                0.60758,                0.88966,             0.00037661,             0.00037661,             0.00037661
                     68,                0.49894,                0.55095,                0.80547,                0.82719,                0.85079,                0.90024,                0.73793,                0.74962,                0.61303,                0.88713,             0.00037649,             0.00037649,             0.00037649
                     69,                0.47563,                0.52713,                0.85393,                0.82719,                0.85079,                0.90024,                0.73793,                0.74962,                0.61303,                0.88713,             0.00037636,             0.00037636,             0.00037636
                     70,                0.45911,                0.55037,                0.80109,                0.84684,                0.84903,                0.90024,                0.74282,                0.72017,                 0.6131,                0.88914,             0.00037623,             0.00037623,             0.00037623
                     71,                 0.5047,                0.58067,                0.84185,                0.85318,                0.84948,                0.90024,                0.72035,                0.74014,                0.61557,                0.89543,             0.00037611,             0.00037611,             0.00037611
                     72,                0.47512,                  0.537,                0.81406,                0.85028,                0.84794,                0.90024,                0.70999,                0.80227,                0.63674,                0.89549,             0.00037598,             0.00037598,             0.00037598
                     73,                 0.4862,                0.54989,                 0.8181,                0.85028,                0.84794,                0.90024,                0.70999,                0.80227,                0.63674,                0.89549,             0.00037585,             0.00037585,             0.00037585
                     74,                0.47119,                0.53276,                0.82169,                0.83708,                0.84641,                0.90024,                0.67403,                0.82998,                0.66104,                0.89091,             0.00037573,             0.00037573,             0.00037573
                     75,                0.46846,                0.55409,                0.81212,                 0.8231,                 0.8513,                0.90024,                0.67981,                0.82144,                0.67624,                0.88987,              0.0003756,              0.0003756,              0.0003756
                     76,                0.47268,                   0.54,                0.83858,                0.80841,                 0.8527,                0.90024,                0.69928,                0.77246,                0.69111,                0.88662,             0.00037547,             0.00037547,             0.00037547
                     77,                0.47646,                 0.5275,                0.82597,                0.80841,                 0.8527,                0.90024,                0.69928,                0.77246,                0.69111,                0.88662,             0.00037534,             0.00037534,             0.00037534
                     78,                0.50181,                0.52471,                0.85507,                0.81571,                0.85192,                0.90024,                0.69955,                0.77497,                 0.6552,                0.88915,             0.00037522,             0.00037522,             0.00037522
                     79,                0.48465,                0.59147,                0.83841,                0.82408,                0.85149,                0.90024,                 0.7001,                0.80833,                0.64397,                 0.8948,             0.00037509,             0.00037509,             0.00037509
                     80,                0.45381,                0.51697,                 0.8292,                0.82937,                0.85181,                0.90024,                 0.6863,                0.83141,                0.64964,                0.89509,             0.00037496,             0.00037496,             0.00037496
                     81,                 0.4367,                0.55726,                0.82004,                0.82937,                0.85181,                0.90024,                 0.6863,                0.83141,                0.64964,                0.89509,             0.00037484,             0.00037484,             0.00037484
                     82,                0.48804,                0.59106,                0.82898,                0.83822,                0.85195,                0.90024,                0.69354,                0.78784,                0.67761,                0.88387,             0.00037471,             0.00037471,             0.00037471
